Game,Platform,Year
Stardew Valley,Xbox,2021
It Takes Two,Xbox,2021
Hades,Xbox,2021
Yakuza: Like a Dragon,Xbox,2021
Forza Horizon 5,Xbox,2021
Psychonauts 2,Xbox,2021
Final Fantasy X/X-2 HD Remaster,Xbox,2021
Fallout 4,Xbox,2021
Fallout 3,Xbox,2021
Yakuza 6: The Song of Life,Xbox,2021
DOOM,Xbox,2021
Mortal Kombat 11,Xbox,2021
Microsoft Flight Simulator,Xbox,2021
The Elder Scrolls IV: Oblivion,Xbox,2021
Dishonored Definitive Edition,Xbox,2021
DOOM (1993),Xbox,2021
Pillars Of Eternity II: Deadfire,Xbox,2021
Halo Infinite,Xbox,2021
DOOM II (Classic),Xbox,2021
The Evil Within 2,Xbox,2021
Wolfenstein: The New Order,Xbox,2021
SnowRunner,Xbox,2021
F1 2020,Xbox,2021
Injustice 2,Xbox,2021
Dishonored: Death of the Outsider,Xbox,2021
Darkest Dungeon,Xbox,2021
Yakuza 5 Remastered,Xbox,2021
Wolfenstein II: The New Colossus,Xbox,2021
Octopath Traveler,Xbox,2021
Elite: Dangerous,Xbox,2021
Prey,Xbox,2021
The Evil Within,Xbox,2021
DiRT Rally 2.0,Xbox,2021
Yakuza 4 Remastered,Xbox,2021
AI: The Somnium Files,Xbox,2021
DiRT Rally 2.0,Xbox,2021
Wolfenstein: The Old Blood,Xbox,2021
Tropico 6,Xbox,2021
Final Fantasy XIII-2,Xbox,2021
The Riftbreaker,Xbox,2021
Dragon Quest Builders 2,Xbox,2021
The Forgotten City,Xbox,2021
Bug Fables: The Everlasting Sapling,Xbox,2021
LIMBO,Xbox,2021
Scarlet Nexus,Xbox,2021
Dragon Ball FighterZ,Xbox,2021
Jurassic World Evolution,Xbox,2021
Firewatch,Xbox,2021
DOOM 3,Xbox,2021
Zombie Army 4: Dead War,Xbox,2021
Football Manager 2022 Xbox Edition,Xbox,2021
Quake,Xbox,2021
Outlast 2,Xbox,2021
Archvale,Xbox,2021
Ryse: Son of Rome,Xbox,2021
Superliminal,Xbox,2021
The Wild at Heart,Xbox,2021
Farming Simulator 19,Xbox,2021
Maneater,Xbox,2021
Wreckfest,Xbox,2021
Project Wingman,Xbox,2021
Minecraft Dungeons,Xbox,2021
ONE PIECE: PIRATE WARRIORS 4,Xbox,2021
Grounded,Xbox,2021
Lost Words: Beyond the Page,Xbox,2021
The Artful Escape,Xbox,2021
DiRT 4,Xbox,2021
Destroy All Humans!,Xbox,2021
Alan Wake's American Nightmare,Xbox,2021
Final Fantasy XIII,Xbox,2021
RAGE,Xbox,2021
Katamari Damacy Reroll,Xbox,2021
Perfect Dark (Xbox 360),Xbox,2021
Train Sim World 2,Xbox,2021
Ring of Pain,Xbox,2021
Outriders,Xbox,2021
My Friend Pedro,Xbox,2021
Need for Speed Hot Pursuit Remastered,Xbox,2021
Yakuza 3 Remastered,Xbox,2021
Omno,Xbox,2021
Record of Lodoss War -Deedlit in Wonder Labyrinth-,Xbox,2021
NHL 21,Xbox,2021
Dicey Dungeons,Xbox,2021
The Gunk,Xbox,2021
Mighty Goose,Xbox,2021
GRID,Xbox,2021
Among Us,Xbox,2021
Myst,Xbox,2021
The Ascent,Xbox,2021
Curse of the Dead Gods,Xbox,2021
"Warhammer 40,000: Battlesector",Xbox,2021
Flynn: Son of Crimson,Xbox,2021
Steep,Xbox,2021
Sable,Xbox,2021
Subnautica: Below Zero,Xbox,2021
