title,platform,date
Super Mario RPG,Switch,17/11/2023 0:00
WarioWare: Move It!,Switch,3/11/2023 0:00
Super Mario Bros. Wonder,Switch,20/10/2023 0:00
Detective Pikachu Returns,Switch,6/10/2023 0:00
Fae Farm,Switch,8/9/2023 0:00
Pikmin 4,Switch,21/7/2023 0:00
Mario Kart 8 Deluxe: Booster Course Pass - Wave 5,Switch,12/7/2023 0:00
Everybody 1-2-Switch!,Switch,30/6/2023 0:00
Pikmin 1,Switch,21/6/2023 0:00
Pikmin 2,Switch,21/6/2023 0:00
Pikmin 1 + 2,Switch,21/6/2023 0:00
The Legend of Zelda: Tears of the Kingdom,Switch,12/5/2023 0:00
Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed,Switch,25/4/2023 0:00
Advance Wars 1 + 2: Re-Boot Camp,Switch,21/4/2023 0:00
Fire Emblem Engage: Expansion Pass Wave 4,Switch,5/4/2023 0:00
Bayonetta Origins: Cereza and the Lost Demon,Switch,17/3/2023 0:00
Mario Kart 8 Deluxe: Booster Course Pass - Wave 4,Switch,9/3/2023 0:00
Fire Emblem Engage: Expansion Pass Wave 3,Switch,7/3/2023 0:00
Splatoon 3: Expansion Pass Wave 1 - Inkopolis,Switch,28/2/2023 0:00
Kirby's Return to Dream Land Deluxe,Switch,24/2/2023 0:00
Xenoblade Chronicles 3: Expansion Pass Wave 3,Switch,15/2/2023 0:00
Fire Emblem Engage: Expansion Pass Wave 2,Switch,8/2/2023 0:00
Metroid Prime Remastered,Switch,8/2/2023 0:00
Fire Emblem Engage,Switch,20/1/2023 0:00
Fire Emblem Engage: Expansion Pass Wave 1,Switch,20/1/2023 0:00
Mario Kart 8 Deluxe: Booster Course Pass - Wave 3,Switch,7/12/2022 0:00
Pokemon Violet,Switch,18/11/2022 0:00
Pokemon Scarlet,Switch,18/11/2022 0:00
Pokemon Scarlet / Pokemon Violet Dual Pack Steelbook Edition,Switch,18/11/2022 0:00
Bayonetta 3,Switch,28/10/2022 0:00
Xenoblade Chronicles 3: Expansion Pass Wave 2,Switch,13/10/2022 0:00
Splatoon 3,Switch,9/9/2022 0:00
Kirby's Dream Buffet,Switch,17/8/2022 0:00
Mario Kart 8 Deluxe: Booster Course Pass - Wave 2,Switch,4/8/2022 0:00
Xenoblade Chronicles 3,Switch,29/7/2022 0:00
Live A Live,Switch,22/7/2022 0:00
Fire Emblem Warriors: Three Hopes,Switch,24/6/2022 0:00
Mario Strikers: Battle League,Switch,10/6/2022 0:00
Nintendo Switch Sports,Switch,29/4/2022 0:00
Kirby and the Forgotten Land,Switch,25/3/2022 0:00
Mario Kart 8 Deluxe: Booster Course Pass - Wave 1,Switch,18/3/2022 0:00
Pokemon Legends: Arceus,Switch,28/1/2022 0:00
Big Brain Academy: Brain vs. Brain,Switch,3/12/2021 0:00
Disney Magical World 2: Enchanted Edition,Switch,3/12/2021 0:00
Pokemon Brilliant Diamond,Switch,19/11/2021 0:00
Pokemon Shining Pearl,Switch,19/11/2021 0:00
Pokemon Brilliant Diamond / Pokemon Shining Pearl Double Pack,Switch,19/11/2021 0:00
Animal Crossing: New Horizons - Happy Home Paradise,Switch,5/11/2021 0:00
Mario Party Superstars,Switch,29/10/2021 0:00
Hyrule Warriors: Age of Calamity - Guardian of Remembrance,Switch,29/10/2021 0:00
Minecraft Dungeons: Ultimate Edition,Switch,26/10/2021 0:00
Super Smash Bros. Ultimate: Sora,Switch,18/10/2021 0:00
Metroid Dread,Switch,8/10/2021 0:00
WarioWare: Get It Together!,Switch,10/9/2021 0:00
The Legend of Zelda: Skyward Sword HD,Switch,16/7/2021 0:00
Fitness Boxing 2: Rhythm & Exercise - Musical Journey,Switch,1/7/2021 0:00
Super Smash Bros. Ultimate: Kazuya,Switch,29/6/2021 0:00
Mario Golf: Super Rush,Switch,25/6/2021 0:00
Hyrule Warriors: Age of Calamity - Pulse of the Ancients,Switch,18/6/2021 0:00
Game Builder Garage,Switch,11/6/2021 0:00
DC Super Hero Girls: Teen Power,Switch,4/6/2021 0:00
Miitopia,Switch,21/5/2021 0:00
Famicom Detective Club: The Missing Heir,Switch,14/5/2021 0:00
Famicom Detective Club: The Girl Who Stands Behind,Switch,14/5/2021 0:00
New Pokemon Snap,Switch,30/4/2021 0:00
Super Smash Bros. Ultimate: Pyra / Mythra,Switch,4/3/2021 0:00
Project Triangle Strategy Debut Demo,Switch,17/2/2021 0:00
Super Mario 3D World + Bowser's Fury,Switch,12/2/2021 0:00
Super Smash Bros. Ultimate: Sephiroth,Switch,22/12/2020 0:00
Fitness Boxing 2: Rhythm & Exercise,Switch,4/12/2020 0:00
Fire Emblem: Shadow Dragon & the Blade of Light,Switch,4/12/2020 0:00
Hyrule Warriors: Age of Calamity,Switch,20/11/2020 0:00
Pokemon Sword + Pokemon Sword Expansion Pass,Switch,6/11/2020 0:00
Pokemon Shield + Pokemon Shield Expansion Pass,Switch,6/11/2020 0:00
Pikmin 3 Deluxe,Switch,30/10/2020 0:00
Part Time UFO,Switch,28/10/2020 0:00
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda - Complete Edition,Switch,23/10/2020 0:00
